quarter,domestic_usd,imports_actual_usd,us_actual_usd,us_counterfactual_usd,us_suppressed_usd,ratio_actual,ratio_counterfactual,suppression_pp
2023Q1,925485524.0806044,5419946661.544933,784871729.0,916544908.3780563,131673179.37805629,0.14585066816680026,0.14288566758248047,0.29650005843197824
2023Q2,1097034879.3410738,7040039631.850924,884186393.0,1132539707.6310854,248353314.6310854,0.1348193233123497,0.130826345671086,0.39929776412636897
2023Q3,1327195723.6633666,10181562969.07302,1244698662.0,1619902787.0653546,375204125.0653546,0.11532049277399568,0.11167955874746392,0.36409340265317613
2023Q4,1629172102.0027623,11964345034.40569,1497335613.0,2218992046.330432,721656433.3304319,0.11984919617596529,0.113807359307658,0.6041836868307295
2024Q1,1274681600.6219554,11708131992.43803,1176454995.0,2292310172.612441,1115855177.612441,0.09818223079959659,0.09041148645704088,0.7770744342555715
2024Q2,1539873234.5827146,11374241398.770348,1142535232.0,1913298937.3275244,770763705.3275244,0.11923955132051488,0.11252370656670228,0.6715844753812594
2024Q3,1840005612.6594777,11901619850.928463,1072815747.0,2009334138.0057843,936518391.0057843,0.13390014285682997,0.12535683195962294,0.8543310897207029
2024Q4,2371882426.5882645,10348899125.303394,790252545.0,1672501278.9189296,882248733.9189296,0.18645728777848172,0.1743642686043558,1.2093019174125919
2025Q1,1779278753.0937874,8457174086.048749,676800979.0,1401108434.36814,724307455.36814,0.173817901674896,0.16233169098542174,1.1486210689474252
2025Q2,2039322782.3944957,10672865038.340038,739817249.0,2337524253.1760597,1597707004.1760597,0.1604226440918539,0.14251137463599334,1.791126945586055
2025Q3,2664327519.4736104,11605548976.572586,527836269.0,2454862820.2110834,1927026551.2110834,0.1867099214356778,0.164496108404179,2.2213813031498804
2025Q4,3062737886.0885487,10834579728.738783,314496621.0,1993050446.6624868,1678553825.6624868,0.22038338411585637,0.19663348518188808,2.3749898933968283
